Date,Runners,Invalid (ผิดกติกา),Mandalorian Daily,Mandalorian Accumulate,Mandalorian Avg,IT System Daily,IT System Accumulate,IT System Avg
2025-12-23,"Sand: 3.57km, O: 6.01km",,3.57,11.91,1.19,6.01,6.01,0.60
2025-12-24,Chan: 5.01km,,5.01,16.92,1.69,0,6.01,0.60
2025-12-27,"Sand: 2.12km, GIO: 8.51km",,10.63,27.55,2.75,0,6.01,0.60
2025-12-28,"Sand: 2.12km, GIO: 3.53km",,5.65,33.20,3.32,0,6.01,0.60
2025-12-29,Game: 11.13km,,0,33.20,3.32,11.13,17.14,1.71
2025-12-30,"GIO: 4.04km, Chan: 3.61km, Game: 11.13km, O: 5.90km",,7.65,40.85,4.08,17.03,34.17,3.42
2025-12-31,"GIO: 5.25km, O: 6.02km",,5.25,46.10,4.61,6.02,40.19,4.02
